predicate,kind,declared,hypothesis_sites,suppliers,files_using,hint_supplied_parent,hint_in_proof_ascription,hint,example_sites
NavierStokes.CorrectionStep.PeriodizedSignedParameters.NativeControl,structure,NavierStokes/CorrectionStep.lean:5543,9,0,1,,,,NavierStokes/CorrectionStep.lean:5595; NavierStokes/CorrectionStep.lean:5616; NavierStokes/CorrectionStep.lean:5649; NavierStokes/CorrectionStep.lean:5776
NavierStokes.CorrectionStep.SignedParameters.Dynamics,structure,NavierStokes/CorrectionStep.lean:3982,9,0,1,,,,NavierStokes/CorrectionStep.lean:4010; NavierStokes/CorrectionStep.lean:4020; NavierStokes/CorrectionStep.lean:4042; NavierStokes/CorrectionStep.lean:4053
NavierStokes.GenericTupleRealization.Result,structure,NavierStokes/GenericTupleRealization.lean:48,8,0,4,,,,NavierStokes/GenericSummationRealization.lean:29; NavierStokes/GenericSummationRealization.lean:75; NavierStokes/GenericSupportLocalSummation.lean:21; NavierStokes/GenericSupportLocalSummation.lean:67
NavierStokes.GlobalSlowProfiles.PatchSupport,def,NavierStokes/GlobalSlowProfiles.lean:400,8,0,1,,,,NavierStokes/GlobalSlowProfiles.lean:403; NavierStokes/GlobalSlowProfiles.lean:415; NavierStokes/GlobalSlowProfiles.lean:439; NavierStokes/GlobalSlowProfiles.lean:446
NavierStokes.MovingMomentBounds.SupportedTriple,structure,NavierStokes/MovingMomentBounds.lean:186,8,0,2,,NavierStokes/MeanLocalDefectBounds.lean:232; NavierStokes/MovingMomentBounds.lean:298,route2?,NavierStokes/MeanLocalDefectBounds.lean:161; NavierStokes/MeanLocalDefectBounds.lean:232; NavierStokes/MeanLocalDefectBounds.lean:298; NavierStokes/MovingMomentBounds.lean:193
NavierStokes.ParticularWaveBounds.CopyGeometryMatch,structure,NavierStokes/ParticularWaveBounds.lean:1764,8,0,1,,,,NavierStokes/ParticularWaveBounds.lean:1847; NavierStokes/ParticularWaveBounds.lean:1874; NavierStokes/ParticularWaveBounds.lean:1902; NavierStokes/ParticularWaveBounds.lean:1934
NavierStokes.ParticularWaveBounds.ModalCopyControl,structure,NavierStokes/ParticularWaveBounds.lean:1290,8,0,1,,,,NavierStokes/ParticularWaveBounds.lean:1333; NavierStokes/ParticularWaveBounds.lean:1344; NavierStokes/ParticularWaveBounds.lean:1812; NavierStokes/ParticularWaveBounds.lean:1874
EulerPacketCylinderField.VectorCoefficient,structure,Euler/PacketCylinderCoefficientData.lean:24,7,0,6,EulerPacketCylinderField.CoefficientData,,route4,Euler/PacketCylinderAngularRegularity.lean:65; Euler/PacketCylinderCoefficientBounds.lean:50; Euler/PacketCylinderJetOperations.lean:28; Euler/PacketCylinderWeightedAdvection.lean:43
NavierStokes.CommonCoverSolve.LatticePeriodic,def,NavierStokes/CommonCoverSolve.lean:609,7,0,1,,,,NavierStokes/CommonCoverSolve.lean:612; NavierStokes/CommonCoverSolve.lean:617; NavierStokes/CommonCoverSolve.lean:622; NavierStokes/CommonCoverSolve.lean:625
NavierStokes.ParametricTerminalCompensation.FirstJetWithinBound,def,NavierStokes/ParametricTerminalCompensation.lean:20,7,0,1,,,,NavierStokes/ParametricTerminalCompensation.lean:26; NavierStokes/ParametricTerminalCompensation.lean:32; NavierStokes/ParametricTerminalCompensation.lean:124; NavierStokes/ParametricTerminalCompensation.lean:294
NavierStokes.PulseCovariance.TangentPulse,structure,NavierStokes/PulseCovariance.lean:637,7,0,1,,,,NavierStokes/PartitionedCovariance.lean:344; NavierStokes/PartitionedCovariance.lean:349; NavierStokes/PartitionedCovariance.lean:353; NavierStokes/PartitionedCovariance.lean:358
NavierStokes.VolterraParity.CoefficientParityOn,def,NavierStokes/VolterraParity.lean:37,7,0,1,,,,NavierStokes/VolterraParity.lean:454; NavierStokes/VolterraParity.lean:508; NavierStokes/VolterraParity.lean:526; NavierStokes/VolterraParity.lean:551
